firstName,lastName,personId,gameId,gameDate,playerteamCity,playerteamName,opponentteamCity,opponentteamName,gameType,gameLabel,gameSubLabel,seriesGameNumber,win,home,numMinutes,points,assists,blocks,steals,fieldGoalsAttempted,fieldGoalsMade,fieldGoalsPercentage,threePointersAttempted,threePointersMade,threePointersPercentage,freeThrowsAttempted,freeThrowsMade,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,foulsPersonal,turnovers,plusMinusPoints,fullName,game_year,birth_year,age_at_game,player_threshold,over_threshold,age_expected_points,age_expected_minutes,points_vs_age_expected,minutes_vs_age_expected,age_category,years_in_league_approx,career_stage,fg_percentage,three_point_percentage,free_throw_percentage,points_per_minute,total_shot_attempts,month,day_of_week,is_weekend
James,Harden,201935,22500224,2025-11-12 22:30:00+00:00,LA,Clippers,Denver,Nuggets,,,,,False,True,29.46,23.0,5.0,0.0,0.0,15.0,6.0,0.4,6.0,1.0,0.167,10.0,10.0,1.0,8.0,0.0,8.0,0.0,2.0,-24.0,James Harden,2025,,,23.58,0,,,,,,,,0.4,0.16666666666666666,1.0,0.7807196198234895,25.0,11.0,2.0,0
Nikola,Jokic,203999,22500224,2025-11-12 22:30:00+00:00,Denver,Nuggets,LA,Clippers,,,,,True,False,33.34,55.0,6.0,1.0,1.0,23.0,18.0,0.783,6.0,5.0,0.833,16.0,14.0,0.875,10.0,2.0,12.0,1.0,2.0,28.0,Nikola Jokic,2025,,,22.01,1,,,,,,,,0.782608695652174,0.8333333333333334,0.875,1.6496700659868024,39.0,11.0,2.0,0
Devin,Booker,1626164,22500221,2025-11-12 20:30:00+00:00,Phoenix,Suns,Dallas,Mavericks,,,,,True,False,38.25,26.0,9.0,0.0,2.0,19.0,7.0,0.368,3.0,0.0,0.0,13.0,12.0,0.923,3.0,0.0,3.0,3.0,5.0,8.0,Devin Booker,2025,,,24.35,1,,,,,,,,0.3684210526315789,0.0,0.9230769230769231,0.6797385620915033,32.0,11.0,2.0,0
Buddy,Hield,1627741,22500220,2025-11-12 20:00:00+00:00,Golden State,Warriors,San Antonio,Spurs,,,,,True,False,15.31,4.0,0.0,0.0,1.0,4.0,1.0,0.25,2.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,-3.0,Buddy Hield,2025,,,14.61,0,,,,,,,,0.25,0.0,1.0,0.2612671456564337,6.0,11.0,2.0,0
Kevin,Durant,201142,22500218,2025-11-12 20:00:00+00:00,Houston,Rockets,Washington,Wizards,,,,,True,True,30.52,23.0,4.0,0.0,2.0,16.0,7.0,0.438,5.0,2.0,0.4,8.0,7.0,0.875,4.0,1.0,5.0,2.0,1.0,15.0,Kevin Durant,2025,,,26.99,0,,,,,,,,0.4375,0.4,0.875,0.7536041939711665,24.0,11.0,2.0,0
Stephen,Curry,201939,22500220,2025-11-12 20:00:00+00:00,Golden State,Warriors,San Antonio,Spurs,,,,,True,False,33.32,46.0,5.0,0.0,2.0,25.0,13.0,0.52,16.0,5.0,0.313,16.0,15.0,0.938,5.0,0.0,5.0,2.0,1.0,5.0,Stephen Curry,2025,,,24.6,1,,,,,,,,0.52,0.3125,0.9375,1.3805522208883554,41.0,11.0,2.0,0
Jrue,Holiday,201950,22500219,2025-11-12 20:00:00+00:00,Portland,Trail Blazers,New Orleans,Pelicans,,,,,True,False,36.32,17.0,12.0,0.0,0.0,12.0,6.0,0.5,7.0,3.0,0.429,2.0,2.0,1.0,4.0,0.0,4.0,2.0,3.0,-4.0,Jrue Holiday,2025,,,15.56,1,,,,,,,,0.5,0.42857142857142855,1.0,0.46806167400881055,14.0,11.0,2.0,0
Harrison,Barnes,203084,22500220,2025-11-12 20:00:00+00:00,San Antonio,Spurs,Golden State,Warriors,,,,,False,True,25.08,11.0,0.0,1.0,3.0,9.0,4.0,0.444,6.0,3.0,0.5,0.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,-5.0,Harrison Barnes,2025,,,13.42,0,,,,,,,,0.4444444444444444,0.5,0.0,0.4385964912280702,9.0,11.0,2.0,0
Karl-Anthony,Towns,1626157,22500215,2025-11-12 19:00:00+00:00,New York,Knicks,Orlando,Magic,,,,,False,True,34.31,15.0,4.0,0.0,1.0,15.0,6.0,0.4,4.0,1.0,0.25,2.0,2.0,1.0,10.0,2.0,12.0,5.0,2.0,-2.0,Karl-Anthony Towns,2025,,,22.39,0,,,,,,,,0.4,0.25,1.0,0.43719032352083936,17.0,11.0,2.0,0
Mikal,Bridges,1628969,22500215,2025-11-12 19:00:00+00:00,New York,Knicks,Orlando,Magic,,,,,False,True,27.6,6.0,2.0,0.0,2.0,9.0,3.0,0.333,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,-19.0,Mikal Bridges,2025,,,14.61,0,,,,,,,,0.3333333333333333,0.0,0.0,0.21739130434782608,9.0,11.0,2.0,0
